station_abbr;reference_timestamp;tre200s0;tre005s0;tresurs0;xchills0;ure200s0;tde200s0;pva200s0;prestas0;pp0qnhs0;pp0qffs0;ppz850s0;ppz700s0;fkl010z1;fve010z0;fkl010z0;dkl010z0;wcc006s0;fu3010z0;fkl010z3;fu3010z1;fu3010z3;rre150z0;htoauts0;gre000z0;ods000z0;oli000z0;olo000z0;osr000z0;sre000z0
SMA;01.01.2025 00:00;-2.8;-2.7;-2.7;-2.8;99.1;-2.9;4.9;963.1;1029.1;1032.7;;;1.1;0.4;0.5;303;;1.8;1;4;3.6;0;0;0;;253;;;0
SMA;01.01.2025 00:10;-2.9;-3.2;-3.2;-2.9;99.1;-3;4.9;963.1;1029.1;1032.7;;;0.7;0.1;0.2;3;;0.7;0.7;2.5;2.5;0;0;0;;236;;;0
SMA;01.01.2025 00:20;-3;-3.8;-3.9;-3;97.4;-3.4;4.8;963.1;1029.1;1032.8;;;0.9;0.1;0.3;325;;1.1;0.8;3.2;2.9;0;0;0;;233;;;0
SMA;01.01.2025 00:30;-2.8;-4.3;-4.5;-2.8;96;-3.3;4.8;963;1029;1032.6;;;1;0.2;0.2;281;;0.7;0.9;3.6;3.2;0;0;0;;234;;;0
SMA;01.01.2025 00:40;-3;-4.4;-4.6;-3;95.3;-3.6;4.7;963;1029;1032.7;;;1.3;0.2;0.3;49;;1.1;1.3;4.7;4.7;0;0;0;;233;;;0
SMA;01.01.2025 00:50;-2.3;-4.6;-4.8;-2.3;92.3;-3.4;4.8;962.9;1028.9;1032.4;;;1.6;0.2;0.5;310;;1.8;1.5;5.8;5.4;0;0;0;;235;;;0
SMA;01.01.2025 01:00;-3;-4.3;-4.5;-3;96.6;-3.5;4.7;963;1029;1032.7;;;1.6;0.7;0.8;252;;2.9;1.5;5.8;5.4;0;0;0;;240;;;0
SMA;01.01.2025 01:10;-3;-3.6;-3.7;-3;100;-3;4.9;963.1;1029.1;1032.8;;;1.6;0.6;0.6;196;;2.2;1.5;5.8;5.4;0;0;0;;285;;;0
SMA;01.01.2025 01:20;-2.8;-2.8;-2.8;-2.8;100;-2.8;5;962.9;1028.9;1032.5;;;1.4;0.8;0.8;153;;2.9;1.4;5;5;0;0;0;;294;;;0
SMA;01.01.2025 01:30;-2.5;-2.5;-2.5;-2.5;100;-2.5;5.1;963;1029;1032.5;;;1.4;0.1;0.6;307;;2.2;1.3;5;4.7;0;0;0;;285;;;0
SMA;01.01.2025 01:40;-2.6;-2.6;-2.5;-2.6;100;-2.6;5;963.3;1029.3;1032.9;;;1.9;0.4;0.6;255;;2.2;1.8;6.8;6.5;0;0;0;;266;;;0
SMA;01.01.2025 01:50;-2.8;-2.9;-2.9;-2.8;94.6;-3.5;4.7;963.2;1029.2;1032.8;;;1.6;0.7;0.8;57;;2.9;1.5;5.8;5.4;0;0;0;;244;;;0
SMA;01.01.2025 02:00;-3.2;-3.9;-4;-3.2;94.1;-4;4.5;963.3;1029.3;1033;;;1.5;0.5;0.5;85;;1.8;1.4;5.4;5;0;0;0;;230;;;0
SMA;01.01.2025 02:10;-3.1;-4.2;-4.3;-3.1;94;-3.9;4.6;963.2;1029.2;1032.9;;;1.2;0.4;0.5;143;;1.8;1.2;4.3;4.3;0;0;0;;258;;;0
SMA;01.01.2025 02:20;-2.9;-3.7;-3.7;-2.9;98.7;-3.1;4.9;963.1;1029.1;1032.7;;;0.9;0.2;0.4;201;;1.4;0.9;3.2;3.2;0;0;0;;259;;;0
SMA;01.01.2025 02:30;-3.3;-3.3;-3.4;-3.3;100;-3.3;4.8;963.1;1029.1;1032.9;;;1.6;0.5;0.6;167;;2.2;1.5;5.8;5.4;0;0;0;;266;;;0
SMA;01.01.2025 02:40;-3.1;-3.3;-3.3;-3.1;100;-3.1;4.9;962.9;1028.9;1032.6;;;2.7;1;1.1;172;;4;2.6;9.7;9.4;0;0;0;;273;;;0
SMA;01.01.2025 02:50;-2.8;-2.7;-2.7;-2.8;100;-2.8;5;962.9;1028.9;1032.5;;;1.7;0.8;0.9;160;;3.2;1.7;6.1;6.1;0;0;0;;299;;;0
SMA;01.01.2025 03:00;-2.7;-2.4;-2.4;-2.7;100;-2.7;5;962.8;1028.8;1032.4;;;1.9;1;1;171;;3.6;1.8;6.8;6.5;0;0;0;;299;;;0
SMA;01.01.2025 03:10;-2.7;-2.2;-2.1;-2.7;100;-2.7;5;962.8;1028.8;1032.4;;;1.5;0.6;0.6;161;;2.2;1.3;5.4;4.7;0;0;0;;301;;;0
SMA;01.01.2025 03:20;-2.5;-2.1;-2.1;-2.5;100;-2.5;5.1;962.9;1028.9;1032.4;;;1.7;0.8;0.8;176;;2.9;1.6;6.1;5.8;0;0;0;;301;;;0
SMA;01.01.2025 03:30;-2.7;-2.1;-2;-2.7;100;-2.7;5;963;1029;1032.6;;;1.3;0.3;0.4;182;;1.4;1.3;4.7;4.7;0;0;0;;302;;;0
SMA;01.01.2025 03:40;-2.5;-2;-2;-2.5;100;-2.5;5.1;962.9;1028.9;1032.4;;;0.9;0.3;0.3;192;;1.1;0.8;3.2;2.9;0;0;0;;302;;;0
SMA;01.01.2025 03:50;-2.4;-1.9;-1.9;-2.4;100;-2.4;5.1;962.8;1028.8;1032.3;;;1.3;0.6;0.7;181;;2.5;1.3;4.7;4.7;0;0;0;;302;;;0
SMA;01.01.2025 04:00;-2.5;-1.9;-1.8;-2.5;100;-2.5;5.1;962.7;1028.7;1032.2;;;1.6;0.8;0.9;187;;3.2;1.6;5.8;5.8;0;0;0;;301;;;0
SMA;01.01.2025 04:10;-2.8;-2;-1.9;-2.8;100;-2.8;5;962.6;1028.6;1032.2;;;1.5;0.5;0.5;167;;1.8;1.4;5.4;5;0;0;0;;300;;;0
SMA;01.01.2025 04:20;-2.7;-2.1;-2;-2.7;100;-2.7;5;962.7;1028.7;1032.3;;;1.4;0.7;0.8;187;;2.9;1.3;5;4.7;0;0;0;;301;;;0
SMA;01.01.2025 04:30;-2.7;-2.1;-2;-2.7;100;-2.7;5;962.7;1028.7;1032.3;;;1.5;0.7;0.7;159;;2.5;1.4;5.4;5;0;0;0;;299;;;0
SMA;01.01.2025 04:40;-2.6;-2.2;-2.1;-2.6;100;-2.6;5;962.6;1028.6;1032.1;;;1.5;0.4;0.7;190;;2.5;1.4;5.4;5;0;0;0;;298;;;0
SMA;01.01.2025 04:50;-2.7;-2.3;-2.2;-2.7;100;-2.7;5;962.5;1028.5;1032.1;;;0.9;0.1;0.3;97;;1.1;0.9;3.2;3.2;0;0;0;;292;;;0
SMA;01.01.2025 05:00;-3.1;-2.5;-2.4;-3.1;100;-3.1;4.9;962.4;1028.4;1032.1;;;1;0.1;0.3;37;;1.1;0.9;3.6;3.2;0;0;0;;272;;;0
SMA;01.01.2025 05:10;-3.1;-2.8;-2.7;-3.1;100;-3.1;4.9;962.3;1028.3;1031.9;;;1.3;0.3;0.4;163;;1.4;1.3;4.7;4.7;0;0;0;;264;;;0
SMA;01.01.2025 05:20;-3.1;-2.8;-2.7;-3.1;100;-3.1;4.9;962.2;1028.2;1031.8;;;0.8;0.2;0.3;8;;1.1;0.8;2.9;2.9;0;0;0;;264;;;0
SMA;01.01.2025 05:30;-3.2;-3;-2.9;-3.2;100;-3.2;4.8;962.2;1028.2;1031.9;;;0.8;0.2;0.2;244;;0.7;0.7;2.9;2.5;0;0;0;;267;;;0
SMA;01.01.2025 05:40;-2.8;-2.9;-2.8;-2.8;98.8;-3;4.9;962.2;1028.2;1031.8;;;0.9;0.4;0.5;249;;1.8;0.9;3.2;3.2;0;0;0;;284;;;0
SMA;01.01.2025 05:50;-3.3;-2.7;-2.7;-3.3;100;-3.3;4.8;962.2;1028.2;1031.9;;;1;0.3;0.4;199;;1.4;0.9;3.6;3.2;0;0;0;;290;;;0
SMA;01.01.2025 06:00;-3.3;-2.7;-2.6;-3.3;100;-3.3;4.8;962.2;1028.2;1031.9;;;1.5;0.4;0.5;173;;1.8;1.4;5.4;5;0;0;0;;291;;;0
SMA;01.01.2025 06:10;-3.4;-2.9;-2.8;-3.4;100;-3.4;4.8;962.1;1028.1;1031.8;;;1;0.3;0.3;172;;1.1;0.9;3.6;3.2;0;0;0;;259;;;0
SMA;01.01.2025 06:20;-3.4;-3.4;-3.3;-3.4;100;-3.4;4.8;962;1028;1031.7;;;1.5;0.3;0.5;271;;1.8;1.4;5.4;5;0;0;0;;244;;;0
SMA;01.01.2025 06:30;-3.4;-3.5;-3.5;-3.4;99.7;-3.4;4.7;962;1028;1031.7;;;1.4;0.4;0.6;232;;2.2;1.3;5;4.7;0;0;0;;254;;;0
SMA;01.01.2025 06:40;-3.4;-3.6;-3.6;-3.4;98.9;-3.5;4.7;961.9;1027.8;1031.6;;;1.1;0.2;0.4;184;;1.4;1;4;3.6;0;0;0;;247;;;0
SMA;01.01.2025 06:50;-3.4;-3.8;-3.8;-3.4;100;-3.4;4.8;961.9;1027.8;1031.6;;;2.2;0.8;0.9;184;;3.2;2.1;7.9;7.6;0;0;0;;258;;;0
SMA;01.01.2025 07:00;-3.5;-3.5;-3.6;-3.5;100;-3.5;4.7;961.9;1027.8;1031.6;;;1.3;0.4;0.5;181;;1.8;1.3;4.7;4.7;0;0;0;;258;;;0
SMA;01.01.2025 07:10;-3.5;-3.8;-3.8;-3.5;99.3;-3.6;4.7;961.8;1027.7;1031.5;;;1;0.1;0.2;76;;0.7;0.9;3.6;3.2;0;0;0;;240;;;0
SMA;01.01.2025 07:20;-3.5;-3.7;-3.7;-3.5;100;-3.5;4.7;961.8;1027.7;1031.5;;;0.8;0.2;0.3;143;;1.1;0.7;2.9;2.5;0;0;1;;264;;;0
SMA;01.01.2025 07:30;-3.5;-3.6;-3.6;-3.5;100;-3.5;4.7;961.8;1027.7;1031.5;;;0.7;0.2;0.2;225;;0.7;0.7;2.5;2.5;0;0;7;;253;;;0
SMA;01.01.2025 07:40;-3.5;-3.4;-3.4;-3.5;100;-3.5;4.7;961.7;1027.6;1031.4;;;0.7;0.2;0.2;86;;0.7;0.7;2.5;2.5;0;0;14;;253;;;0
SMA;01.01.2025 07:50;-2.6;-3.8;-3.8;-2.6;93.5;-3.5;4.7;961.6;1027.5;1031.1;;;0.9;0.4;0.4;86;;1.4;0.8;3.2;2.9;0;0;27;;231;;;2
SMA;01.01.2025 08:00;-2.9;-4.2;-4.3;-2.9;95.2;-3.6;4.7;961.6;1027.5;1031.1;;;1;0.5;0.5;131;;1.8;1;3.6;3.6;0;0;61;;231;;;10
SMA;01.01.2025 08:10;-3.3;-4.4;-4.5;-3.3;95.8;-3.9;4.6;961.6;1027.5;1031.2;;;0.8;0.3;0.3;214;;1.1;0.7;2.9;2.5;0;0;85;;231;;;10
SMA;01.01.2025 08:20;-3.1;-4.2;-4.4;-3.1;94.7;-3.8;4.6;961.7;1027.6;1031.3;;;0.6;0.1;0.2;56;;0.7;0.5;2.2;1.8;0;0;103;;232;;;10
SMA;01.01.2025 08:30;-2.6;-3.5;-3.5;-2.6;94.8;-3.3;4.8;961.8;1027.7;1031.3;;;1.3;0.3;0.4;266;;1.4;1.2;4.7;4.3;0;0;109;;233;;;10
SMA;01.01.2025 08:40;-2.8;-2.8;-2.8;-2.8;98.8;-3;4.9;961.8;1027.7;1031.3;;;1.4;0.6;0.7;276;;2.5;1.3;5;4.7;0;0;93;;243;;;1
SMA;01.01.2025 08:50;-3;-2.3;-2.3;-3;100;-3;4.9;961.9;1027.8;1031.5;;;1;0.1;0.3;187;;1.1;0.9;3.6;3.2;0;0;127;;247;;;2
SMA;01.01.2025 09:00;-2.1;-1.8;-1.6;-2.1;96.4;-2.6;5;961.9;1027.8;1031.2;;;1.7;0.1;0.6;341;;2.2;1.6;6.1;5.8;0;0;204;;236;;;10
SMA;01.01.2025 09:10;-1.6;-1;-0.7;-1.6;95.8;-2.2;5.2;962;1028;1031.2;;;1.3;0.2;0.3;298;;1.1;1.2;4.7;4.3;0;0;221;;238;;;10
SMA;01.01.2025 09:20;-1.8;-0.8;-0.4;-1.8;97.8;-2.1;5.2;961.9;1027.8;1031.2;;;2.3;0.6;0.8;240;;2.9;2.2;8.3;7.9;0;1;194;;252;;;3
SMA;01.01.2025 09:30;-0.7;-0.3;-0.2;-0.7;93.7;-1.6;5.4;961.9;1027.8;1030.9;;;2.6;0.7;1.1;7;;4;2.5;9.4;9;0;0;277;;240;;;10
SMA;01.01.2025 09:40;0.4;0.2;0.2;0.4;91.9;-0.8;5.8;961.8;1027.7;1030.5;;;2.7;1;1.3;306;;4.7;2.6;9.7;9.4;0;0;296;;244;;;10
SMA;01.01.2025 09:50;0.6;0.4;0.5;0.6;94.2;-0.2;6;961.8;1027.7;1030.4;;;1.2;0.3;0.4;325;;1.4;1.2;4.3;4.3;0;0;313;;245;;;10
SMA;01.01.2025 10:00;0.5;0.9;1;0.5;96.1;0;6.1;961.8;1027.7;1030.4;;;2.7;0.2;0.5;115;;1.8;2.6;9.7;9.4;0;0;327;;244;;;10
SMA;01.01.2025 10:10;1.1;1.5;1.5;1.1;92.5;0;6.1;961.6;1027.5;1030.1;;;2.3;0.3;0.7;288;;2.5;2.3;8.3;8.3;0;0;337;;244;;;10
SMA;01.01.2025 10:20;0.8;1.8;1.9;0.8;93.3;-0.2;6;961.5;1027.4;1030;;;2.9;0.8;1.1;219;;4;2.8;10.4;10.1;0;0;325;;242;;;10
SMA;01.01.2025 10:30;0.9;1.7;1.8;0.9;91.3;-0.4;6;961.3;1027.2;1029.8;;;1.8;0.4;0.6;276;;2.2;1.7;6.5;6.1;0;0;277;;241;;;10
SMA;01.01.2025 10:40;1.4;2.1;2.3;1.4;86.8;-0.6;5.9;961.3;1027.2;1029.7;;;1.6;0.5;0.6;225;;2.2;1.5;5.8;5.4;0;0;302;;241;;;10
SMA;01.01.2025 10:50;1.3;2.3;2.7;1.3;91.4;0.1;6.1;961.1;1027;1029.5;;;1.9;0.7;0.8;238;;2.9;1.9;6.8;6.8;0;0;336;;241;;;10
SMA;01.01.2025 11:00;1.5;2.1;2.4;1.5;89;-0.1;6.1;961;1026.9;1029.3;;;2;0.8;0.9;232;;3.2;1.9;7.2;6.8;0;0;359;;241;;;10
SMA;01.01.2025 11:10;1.8;1.8;2;1.8;89.9;0.3;6.3;960.9;1026.8;1029.1;;;2.5;0.9;1;227;;3.6;2.5;9;9;0;0;367;;241;;;10
SMA;01.01.2025 11:20;1.6;1.9;2.1;1.6;88.4;-0.1;6.1;960.9;1026.8;1029.2;;;3;0.9;1.1;206;;4;3;10.8;10.8;0;0;364;;240;;;10
SMA;01.01.2025 11:30;1.6;2.2;2.4;1.6;90.2;0.2;6.2;960.7;1026.6;1029;;;2.3;0.8;1;206;;3.6;2.2;8.3;7.9;0;0;367;;240;;;10
SMA;01.01.2025 11:40;1.2;2.7;3;1.2;91.7;0;6.1;960.6;1026.5;1029;;;2;0.7;0.7;187;;2.5;1.9;7.2;6.8;0;0;358;;240;;;10
SMA;01.01.2025 11:50;1.3;2.9;3.2;1.3;92.7;0.3;6.2;960.4;1026.3;1028.7;;;2;0.7;0.8;193;;2.9;1.9;7.2;6.8;0;0;359;;240;;;10
SMA;01.01.2025 12:00;1.2;3;3.4;1.2;92.6;0.1;6.2;960.3;1026.2;1028.7;;;1.6;0.7;0.8;205;;2.9;1.5;5.8;5.4;0;0;361;;240;;;10
SMA;01.01.2025 12:10;2.1;3.5;4;2.1;89.5;0.6;6.4;960.1;1026;1028.2;;;1.5;0.5;0.6;191;;2.2;1.4;5.4;5;0;0;368;;241;;;10
SMA;01.01.2025 12:20;3;3.7;4.1;3;83.8;0.5;6.3;959.9;1025.7;1027.8;;;1.2;0.5;0.6;216;;2.2;1.2;4.3;4.3;0;0;365;;243;;;10
SMA;01.01.2025 12:30;3.1;4.2;4.6;3.1;85.1;0.8;6.5;959.9;1025.7;1027.7;;;1.5;0.6;0.7;223;;2.5;1.5;5.4;5.4;0;0;365;;245;;;10
SMA;01.01.2025 12:40;3.4;5.1;4.9;3.4;80.9;0.4;6.3;959.7;1025.5;1027.4;;;1.1;0.4;0.5;220;;1.8;1.1;4;4;0;0;358;;246;;;10
SMA;01.01.2025 12:50;3.9;5.4;5.5;3.9;81.1;1;6.5;959.5;1025.3;1027.1;;;1.5;0.6;0.7;213;;2.5;1.4;5.4;5;0;0;350;;247;;;10
SMA;01.01.2025 13:00;4.3;6.2;6.8;4.3;77.4;0.7;6.4;959.3;1025.1;1026.8;;;1.3;0.5;0.5;226;;1.8;1.2;4.7;4.3;0;0;340;;248;;;10
SMA;01.01.2025 13:10;3.7;6.9;7.4;3.7;81.1;0.8;6.5;959.1;1024.9;1026.7;;;1.9;0.8;0.8;222;;2.9;1.8;6.8;6.5;0;0;299;;248;;;10
SMA;01.01.2025 13:20;3.7;6.8;7.2;3.7;81;0.7;6.4;958.9;1024.7;1026.5;;;1.7;0.5;0.5;215;;1.8;1.6;6.1;5.8;0;0;298;;247;;;10
SMA;01.01.2025 13:30;3.8;6.5;6.6;3.8;79.9;0.7;6.4;958.7;1024.5;1026.3;;;1.3;0.4;0.6;190;;2.2;1.3;4.7;4.7;0;0;292;;248;;;10
SMA;01.01.2025 13:40;4.7;8.1;8.3;4.7;80;1.6;6.8;958.5;1024.3;1025.8;;;1.6;0.5;0.7;182;;2.5;1.5;5.8;5.4;0;0;278;;249;;;10
SMA;01.01.2025 13:50;5;8.7;8.9;5;77.1;1.3;6.7;958.4;1024.2;1025.6;;;2.2;0.7;0.8;216;;2.9;2.2;7.9;7.9;0;0;259;;249;;;10
SMA;01.01.2025 14:00;4.9;8.4;8.9;4.9;76.9;1.2;6.7;958.3;1024.1;1025.5;;;2;0.8;0.8;220;;2.9;2;7.2;7.2;0;0;240;;249;;;10
SMA;01.01.2025 14:10;4.3;7.3;7.6;4.3;76.8;0.6;6.4;958.2;1023.9;1025.6;;;2.7;0.9;1.1;207;;4;2.6;9.7;9.4;0;0;220;;248;;;10
SMA;01.01.2025 14:20;4.2;5.9;6.1;4.2;75.9;0.3;6.3;958.2;1023.9;1025.6;;;2;0.7;0.9;270;;3.2;2;7.2;7.2;0;0;200;;248;;;10
SMA;01.01.2025 14:30;4;4.4;4.4;4;78.5;0.6;6.4;958.1;1023.8;1025.6;;;2.5;1;1.1;242;;4;2.5;9;9;0;0;176;;248;;;10
SMA;01.01.2025 14:40;3.6;4.1;4;3.6;80.8;0.6;6.4;958.1;1023.8;1025.7;;;2;0.7;0.8;230;;2.9;2;7.2;7.2;0;0;153;;247;;;10
SMA;01.01.2025 14:50;3.7;3.6;3.6;3.7;80.8;0.7;6.4;958;1023.7;1025.5;;;1.6;0.5;0.6;240;;2.2;1.6;5.8;5.8;0;0;130;;247;;;10
SMA;01.01.2025 15:00;3.5;3.9;4;3.5;82.3;0.8;6.5;957.9;1023.6;1025.5;;;1.6;0.5;0.6;246;;2.2;1.6;5.8;5.8;0;0;106;;247;;;10
SMA;01.01.2025 15:10;3.7;3.1;3.1;3.7;82.1;0.9;6.5;957.8;1023.5;1025.3;;;2.7;0.7;1;284;;3.6;2.6;9.7;9.4;0;0;75;;248;;;10
SMA;01.01.2025 15:20;3.3;2.8;2.7;3.3;84.7;1;6.6;957.8;1023.5;1025.4;;;1.1;0.4;0.5;276;;1.8;1.1;4;4;0;0;59;;248;;;10
SMA;01.01.2025 15:30;3.5;1.9;1.6;3.5;84;1.1;6.6;957.8;1023.5;1025.4;;;1.9;0.5;0.6;270;;2.2;1.9;6.8;6.8;0;0;34;;247;;;6
SMA;01.01.2025 15:40;3.7;1.2;0.8;3.7;82.4;1;6.6;957.8;1023.5;1025.3;;;2;0.8;0.9;304;;3.2;2;7.2;7.2;0;0;12;;247;;;0
SMA;01.01.2025 15:50;2.1;0.8;0.4;0.6;90.6;0.7;6.4;957.9;1023.6;1025.8;;;3.6;1.4;1.5;274;;5.4;3.5;13;12.6;0;0;6;;247;;;0
SMA;01.01.2025 16:00;3.9;0.4;0.1;2.3;72.9;-0.5;5.9;957.8;1023.5;1025.3;;;3.6;1.7;1.8;262;;6.5;3.4;13;12.2;0;0;5;;247;;;0
SMA;01.01.2025 16:10;3;0.2;-0.1;1.3;77.4;-0.6;5.9;957.7;1023.4;1025.4;;;3.2;1.7;1.8;258;;6.5;3.2;11.5;11.5;0;0;2;;247;;;0
SMA;01.01.2025 16:20;2.6;0.1;-0.3;0.8;79.3;-0.6;5.8;957.7;1023.4;1025.5;;;3.9;1.7;1.8;254;;6.5;3.7;14;13.3;0;0;0;;246;;;0
SMA;01.01.2025 16:30;4.1;-0.2;-0.5;2.6;67.8;-1.3;5.6;957.6;1023.3;1025;;;2.8;1.6;1.7;254;;6.1;2.7;10.1;9.7;0;0;0;;246;;;0
SMA;01.01.2025 16:40;3.8;-0.2;-0.6;2.1;69.8;-1.2;5.6;957.6;1023.3;1025.1;;;4.8;1.8;1.9;243;;6.8;4.6;17.3;16.6;0;0;0;;246;;;0
SMA;01.01.2025 16:50;4.1;0.4;-0.1;2.4;67.7;-1.3;5.5;957.6;1023.3;1025;;;5.5;1.7;1.9;223;;6.8;5.4;19.8;19.4;0;0;0;;246;;;0
SMA;01.01.2025 17:00;3.9;0.2;-0.3;2.3;69.4;-1.2;5.6;957.6;1023.3;1025.1;;;4.2;1.7;1.8;230;;6.5;4.2;15.1;15.1;0;0;0;;246;;;0
SMA;01.01.2025 17:10;2.5;-0.3;-0.7;1.1;79.8;-0.6;5.8;957.6;1023.3;1025.4;;;3.7;1.4;1.5;252;;5.4;3.6;13.3;13;0;0;0;;246;;;0
SMA;01.01.2025 17:20;3.7;-0.7;-1.1;2.2;69.2;-1.4;5.5;957.4;1023.1;1024.9;;;3;1.6;1.7;223;;6.1;2.9;10.8;10.4;0;0;0;;246;;;0
SMA;01.01.2025 17:30;3.8;-0.3;-0.9;1.6;68.6;-1.4;5.5;957.4;1023.1;1024.9;;;5.1;2.1;2.3;212;;8.3;4.9;18.4;17.6;0;0;0;;246;;;0
SMA;01.01.2025 17:40;4.2;0.4;-0.2;1.9;64.8;-1.8;5.3;957.4;1023.1;1024.8;;;6.3;2.5;2.6;221;;9.4;6.1;22.7;22;0;0;0;;247;;;0
SMA;01.01.2025 17:50;3.9;0.4;-0.2;1.7;65.4;-2;5.3;957.3;1023;1024.7;;;6.1;2.3;2.4;209;;8.6;5.8;22;20.9;0;0;0;;247;;;0
SMA;01.01.2025 18:00;4.6;0.5;-0.1;2.8;61.1;-2.2;5.2;957.2;1022.9;1024.4;;;4.9;1.9;2.1;216;;7.6;4.6;17.6;16.6;0;0;0;;247;;;0
SMA;01.01.2025 18:10;4.4;0.4;-0.2;2.4;61.6;-2.3;5.2;957.2;1022.9;1024.5;;;4.3;2.1;2.3;226;;8.3;4.2;15.5;15.1;0;0;0;;248;;;0
SMA;01.01.2025 18:20;3.8;0.7;0.1;2.2;66;-2;5.3;957.2;1022.9;1024.7;;;4;1.7;1.8;228;;6.5;3.9;14.4;14;0;0;0;;248;;;0
SMA;01.01.2025 18:30;3.5;0.1;-0.4;2.1;68;-1.8;5.3;957.1;1022.8;1024.6;;;3.1;1.5;1.6;230;;5.8;3.1;11.2;11.2;0;0;0;;248;;;0
SMA;01.01.2025 18:40;3.8;0;-0.5;2.1;66;-2;5.3;957.1;1022.8;1024.5;;;2.8;1.7;1.9;224;;6.8;2.7;10.1;9.7;0;0;0;;248;;;0
SMA;01.01.2025 18:50;3.7;0;-0.5;1.7;65.2;-2.2;5.2;957;1022.7;1024.5;;;4.7;2;2.1;217;;7.6;4.4;16.9;15.8;0;0;0;;248;;;0
SMA;01.01.2025 19:00;3.8;0.3;-0.3;1.2;63.8;-2.4;5.1;956.9;1022.6;1024.3;;;5.5;2.7;2.8;206;;10.1;5.3;19.8;19.1;0;0;0;;248;;;0
SMA;01.01.2025 19:10;3.5;0.2;-0.4;1.2;65.3;-2.4;5.1;956.9;1022.6;1024.4;;;4.6;2.3;2.4;221;;8.6;4.5;16.6;16.2;0;0;0;;248;;;0
SMA;01.01.2025 19:20;3.7;0;-0.6;1;63.1;-2.7;5;956.8;1022.5;1024.3;;;6;2.7;2.9;195;;10.4;5.8;21.6;20.9;0;0;0;;248;;;0
SMA;01.01.2025 19:30;3.6;0.2;-0.3;0.7;63.3;-2.7;5;956.7;1022.4;1024.2;;;5.3;2.9;3.1;197;;11.2;5.1;19.1;18.4;0;0;0;;249;;;0
SMA;01.01.2025 19:40;2.7;0.1;-0.4;0.7;70.4;-2.1;5.2;956.7;1022.4;1024.4;;;4;1.8;2;220;;7.2;3.9;14.4;14;0;0;0;;249;;;0
SMA;01.01.2025 19:50;3.8;0;-0.6;1.2;61.3;-3;4.9;956.5;1022.2;1023.9;;;5.8;2.6;2.8;195;;10.1;5.7;20.9;20.5;0;0;0;;251;;;0
SMA;01.01.2025 20:00;3.2;0.6;0;0.8;64.7;-2.8;5;956.5;1022.2;1024.1;;;4.6;2.3;2.5;212;;9;4.4;16.6;15.8;0;0;0;;251;;;0
SMA;01.01.2025 20:10;4.3;0.3;-0.2;2;57;-3.5;4.7;956.3;1021.9;1023.6;;;5;2.4;2.6;199;;9.4;4.9;18;17.6;0;0;0;;251;;;0
SMA;01.01.2025 20:20;3.7;0.4;-0.2;1.4;61.2;-3.1;4.9;956.2;1021.8;1023.6;;;4.8;2.2;2.4;208;;8.6;4.7;17.3;16.9;0;0;0;;252;;;0
SMA;01.01.2025 20:30;4.2;0.2;-0.3;1.3;58;-3.3;4.8;956.1;1021.7;1023.4;;;5.3;3.2;3.3;205;;11.9;5.2;19.1;18.7;0;0;0;;253;;;0
SMA;01.01.2025 20:40;4.4;0.9;0.3;1.5;56;-3.6;4.7;956;1021.6;1023.2;;;6.1;3.2;3.4;211;;12.2;5.9;22;21.2;0;0;0;;252;;;0
SMA;01.01.2025 20:50;4.7;0.9;0.3;2.2;54;-3.8;4.6;955.9;1021.5;1023;;;6;2.7;2.9;214;;10.4;5.8;21.6;20.9;0;0;0;;251;;;0
SMA;01.01.2025 21:00;4.8;0.9;0.3;2.5;53.1;-3.9;4.6;955.9;1021.5;1023;;;4.6;2.6;2.7;218;;9.7;4.4;16.6;15.8;0;0;0;;251;;;0
SMA;01.01.2025 21:10;5.4;1.1;0.4;2.6;51.3;-3.8;4.6;955.8;1021.4;1022.7;;;5.5;3.4;3.5;210;;12.6;5.4;19.8;19.4;0;0;0;;250;;;0
SMA;01.01.2025 21:20;5;1.4;0.8;2.1;53.9;-3.5;4.7;955.7;1021.3;1022.7;;;7.8;3.5;3.6;213;;13;7.4;28.1;26.6;0;0;0;;249;;;0
SMA;01.01.2025 21:30;5.3;1.4;0.7;2.9;53.2;-3.4;4.7;955.7;1021.3;1022.7;;;5.5;2.9;3;210;;10.8;5.4;19.8;19.4;0;0;0;;249;;;0
SMA;01.01.2025 21:40;5.1;1.4;0.7;2.3;54.5;-3.3;4.8;955.7;1021.3;1022.7;;;7.7;3.4;3.5;212;;12.6;7.6;27.7;27.4;0;0;0;;250;;;0
SMA;01.01.2025 21:50;5.2;1.9;1.2;2.5;54;-3.3;4.8;955.7;1021.3;1022.7;;;6.6;3.1;3.3;210;;11.9;6.4;23.8;23;0;0;0;;251;;;0
SMA;01.01.2025 22:00;5.1;2;1.4;2.5;55.3;-3.1;4.9;955.7;1021.3;1022.7;;;5.5;3;3.1;212;;11.2;5.4;19.8;19.4;0;0;0;;252;;;0
SMA;01.01.2025 22:10;5.2;1.8;1.2;2.7;54.3;-3.3;4.8;955.8;1021.4;1022.8;;;4.9;2.9;3;213;;10.8;4.9;17.6;17.6;0;0;0;;253;;;0
SMA;01.01.2025 22:20;5.1;1.5;0.8;2.8;53.9;-3.5;4.7;955.7;1021.3;1022.7;;;6.2;2.6;2.8;202;;10.1;6;22.3;21.6;0;0;0;;254;;;0
